Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,817.700012,830.099976,745.710022,761.820007,761.820007,86920490000
2012-06-01,752.109985,799.000000,729.750000,798.489990,798.489990,81582440000
2012-07-01,799.820007,820.440002,765.049988,786.940002,786.940002,73103810000
2012-08-01,790.030029,827.130005,765.200012,812.090027,812.090027,70283810000
2012-09-01,813.169983,868.500000,807.359985,837.450012,837.450012,69784280000
2012-10-01,840.830017,853.570007,807.239990,818.729980,818.729980,71752320000
2012-11-01,818.780029,830.549988,763.549988,821.919983,821.919983,71489310000
2012-12-01,825.869995,852.500000,816.080017,849.349976,849.349976,66388180000
2013-01-01,849.349976,907.909973,849.349976,902.090027,902.090027,75848510000
2013-02-01,905.590027,932.000000,894.239990,911.109985,911.109985,69273480000
2013-03-01,905.369995,954.000000,899.309998,951.539978,951.539978,68527110000
2013-04-01,951.409973,951.599976,898.400024,947.460022,947.460022,77098000000
2013-05-01,945.530029,1008.229980,924.210022,984.150024,984.150024,76447250000
2013-06-01,986.250000,1001.489990,942.789978,977.479980,977.479980,74946790000
2013-07-01,981.299988,1056.859985,981.299988,1045.260010,1045.260010,68106820000
2013-08-01,1051.229980,1063.520020,1009.460022,1010.900024,1010.900024,64802810000
2013-09-01,1019.479980,1082.000000,1009.000000,1073.790039,1073.790039,66174410000
2013-10-01,1073.689941,1123.260010,1037.859985,1100.150024,1100.150024,76627760000
2013-11-01,1099.089966,1147.000000,1079.079956,1142.890015,1142.890015,63509720000
2013-12-01,1142.300049,1167.959961,1099.670044,1163.640015,1163.640015,64958820000
2014-01-01,1160.500000,1182.040039,1119.800049,1130.880005,1130.880005,75871910000
2014-02-01,1130.099976,1193.500000,1082.719971,1183.030029,1183.030029,69725590000
2014-03-01,1174.229980,1212.819946,1146.829956,1173.040039,1173.040039,71885030000
2014-04-01,1175.469971,1193.959961,1095.790039,1126.859985,1126.859985,71595810000
2014-05-01,1126.040039,1144.099976,1082.530029,1134.500000,1134.500000,63623630000
2014-06-01,1136.369995,1193.599976,1118.660034,1192.959961,1192.959961,63283380000
2014-07-01,1196.229980,1213.550049,1120.060059,1120.069946,1120.069946,66524690000
2014-08-01,1120.540039,1177.069946,1107.310059,1174.349976,1174.349976,58131140000
2014-09-01,1177.290039,1183.849976,1101.670044,1101.680054,1101.680054,66506610000
2014-10-01,1101.079956,1174.329956,1040.469971,1173.510010,1173.510010,93694040000
2014-11-01,1174.500000,1191.760010,1151.979980,1173.229980,1173.229980,63570190000
2014-12-01,1170.550049,1221.439941,1134.510010,1204.699951,1204.699951,80713820000
2015-01-01,1209.979980,1212.800049,1151.300049,1165.390015,1165.390015,77300040000
2015-02-01,1168.579956,1239.670044,1153.790039,1233.369995,1233.369995,68775560000
2015-03-01,1233.390015,1268.160034,1206.109985,1252.770020,1252.770020,76675850000
2015-04-01,1250.989990,1278.630005,1216.099976,1220.130005,1220.130005,69440940000
2015-05-01,1223.050049,1261.020020,1211.130005,1246.530029,1246.530029,65187730000
2015-06-01,1252.020020,1296.000000,1238.650024,1253.949951,1253.949951,73192620000
2015-07-01,1262.119995,1275.900024,1205.189941,1238.680054,1238.680054,77920590000
2015-08-01,1238.319946,1243.160034,1102.579956,1159.449951,1159.449951,84596790000
2015-09-01,1148.310059,1193.989990,1078.630005,1100.689941,1100.689941,79958370000
2015-10-01,1100.890015,1178.780029,1080.609985,1161.859985,1161.859985,85804900000
2015-11-01,1161.949951,1204.869995,1140.760010,1198.109985,1198.109985,75913590000
2015-12-01,1198.930054,1205.079956,1108.760010,1135.890015,1135.890015,83609260000
2016-01-01,1134.079956,1134.079956,958.479980,1035.380005,1035.380005,92409770000
2016-02-01,1033.530029,1044.910034,943.099976,1033.900024,1033.900024,92998480000
2016-03-01,1035.520020,1117.790039,1035.520020,1114.030029,1114.030029,92639420000
2016-04-01,1112.900024,1156.069946,1088.560059,1130.849976,1130.849976,81124990000
2016-05-01,1131.209961,1158.969971,1085.939941,1154.790039,1154.790039,78883600000
2016-06-01,1154.510010,1190.170044,1085.880005,1151.920044,1151.920044,86802700000
2016-07-01,1151.750000,1224.770020,1131.709961,1219.939941,1219.939941,69530250000
2016-08-01,1220.300049,1251.329956,1198.729980,1239.910034,1239.910034,75610310000
2016-09-01,1240.069946,1263.459961,1206.069946,1251.650024,1251.650024,77270240000
2016-10-01,1251.280029,1254.089966,1185.170044,1191.390015,1191.390015,73196630000
2016-11-01,1191.770020,1347.199951,1156.079956,1322.339966,1322.339966,88299760000
2016-12-01,1322.760010,1392.709961,1308.849976,1357.130005,1357.130005,75251240000
